,Match_id,Team1,Team2,Gender,Date,Season,Series/Competition,Match_number,Venue,City,Neutral_venue,Toss_winner,Toss_decision,Player_of_match,Umpire1,Umpire2,Reserve_umpire,Tv_umpire,Match_referee,Winner,Winner_runs,Winner_wickets,Method,Outcome
0,1000887,1,11,1,13-01-2017,2016,Pakistan in Australia ODI Series,1,"""Brisbane Cricket Ground",Brisbane,,1,1,MS Wade,MD Martell,C Shamshuddin,SJ Nogajski,CB Gaffaney,JJ Crowe,1,92,,,
1,1000889,1,11,1,15-01-2017,2016,Pakistan in Australia ODI Series,2,Melbourne Cricket Ground,Neutral,,1,1,Mohammad Hafeez,CB Gaffaney,P Wilson,SJ Nogajski,C Shamshuddin,JJ Crowe,11,,6,,
2,1000891,1,11,1,19-01-2017,2016,Pakistan in Australia ODI Series,3,Western Australia Cricket Association Ground,Perth,,1,0,SPD Smith,SD Fry,C Shamshuddin,P Wilson,CB Gaffaney,JJ Crowe,1,,7,,
3,1000893,1,11,1,22-01-2017,2016,Pakistan in Australia ODI Series,4,Sydney Cricket Ground,Neutral,,1,1,DA Warner,CB Gaffaney,MD Martell,P Wilson,C Shamshuddin,JJ Crowe,1,86,,,
4,1000895,1,11,1,26-01-2017,2016,Pakistan in Australia ODI Series,5,Adelaide Oval,Neutral,,1,1,DA Warner,SD Fry,C Shamshuddin,SJ Nogajski,CB Gaffaney,JJ Crowe,1,57,,,
5,1001371,1,7,1,04-12-2016,2016,Chappell-Hadlee Trophy,1,Sydney Cricket Ground,Neutral,,1,1,SPD Smith,HDPK Dharmasena,MD Martell,GA Abood,P Wilson,RB Richardson,1,68,,,
6,1001373,1,7,1,06-12-2016,2016,Chappell-Hadlee Trophy,2,Manuka Oval,Canberra,,7,0,DA Warner,HDPK Dharmasena,P Wilson,MD Martell,NJ Llong,RB Richardson,1,116,,,
7,1001375,1,7,1,09-12-2016,2016,Chappell-Hadlee Trophy,3,Melbourne Cricket Ground,Neutral,,1,1,DA Warner,NJ Llong,MD Martell,P Wilson,HDPK Dharmasena,RB Richardson,1,117,,,
9,1003273,2,25,1,06-07-2016,2016,Afghanistan in Scotland ODI Series,2,"""Grange Cricket Club Ground",Edinburgh,,25,1,,M Hawthorne,IN Ramage,AJT Dowdalls,,DT Jukes,25,78,,D/L,
10,1004253,3,71,1,21-10-2016,2016,"""ICC World Cricket League Championship",29,Amini Park,Port Moresby,,71,1,,CM Brown,A Kapa,L Oala,,SR Bernard,3,,5,,
11,1004255,3,71,1,23-10-2016,2016,"""ICC World Cricket League Championship",30,Amini Park,Port Moresby,,71,1,,CM Brown,A Kapa,L Oala,,SR Bernard,3,,6,,
12,1004261,4,57,1,13-08-2016,2016,"""ICC World Cricket League Championship",25,VRA Ground,Amstelveen,,4,0,,R Black,MA Din,HKG Jansen,,DT Jukes,4,,7,,
13,1004269,5,19,1,20-11-2016,2016,"""ICC World Cricket League Championship",32,Gymkhana Club Ground,Nairobi,,5,0,Babar Hayat,BP Jele,D Odhiambo,R D'Mello,,D Govindjee,19,39,,D/L,
15,1004285,2,19,1,10-09-2016,2016,Hong Kong in Scotland ODI Series,2,"""Grange Cricket Club Ground",Edinburgh,,2,1,,GO Brathwaite,IN Ramage,DA Haggo,,DT Jukes,2,53,,,
16,1007649,6,10,1,11-06-2016,2016,India in Zimbabwe ODI Series,1,Harare Sports Club,Neutral,,10,0,KL Rahul,IJ Gould,RB Tiffin,I Chabi,TJ Matibiri,RB Richardson,10,,9,,
17,1007651,6,10,1,13-06-2016,2016,India in Zimbabwe ODI Series,2,Harare Sports Club,Neutral,,10,0,YS Chahal,IJ Gould,L Rusere,O Chirombe,RB Tiffin,RB Richardson,10,,8,,
18,1007653,6,10,1,15-06-2016,2016,India in Zimbabwe ODI Series,3,Harare Sports Club,Neutral,,6,1,KL Rahul,IJ Gould,TJ Matibiri,O Chirombe,L Rusere,RB Richardson,10,,10,,
19,1014845,3,5,1,28-05-2016,2016,"""ICC World Cricket League Championship",23,Amini Park,Port Moresby,,5,1,,A Kapa,MD Martell,L Oala,,SR Bernard,3,,6,,
20,1014847,3,5,1,30-05-2016,2016,"""ICC World Cricket League Championship",24,Amini Park,Port Moresby,,3,1,,MD Martell,L Oala,A Kapa,,SR Bernard,3,21,,,
21,1019973,7,12,1,26-12-2016,2016,Bangladesh in New Zealand ODI Series,1,Hagley Oval,Christchurch,,7,1,TWM Latham,WR Knights,C Shamshuddin,CM Brown,PR Reiffel,BC Broad,7,77,,,
22,1019975,7,12,1,29-12-2016,2016,Bangladesh in New Zealand ODI Series,2,Saxton Oval,Nelson,,12,0,NT Broom,CM Brown,PR Reiffel,WR Knights,C Shamshuddin,BC Broad,7,67,,,
23,1019977,7,12,1,31-12-2016,2016,Bangladesh in New Zealand ODI Series,3,Saxton Oval,Nelson,,12,1,KS Williamson,CM Brown,C Shamshuddin,WR Knights,PR Reiffel,BC Broad,7,,8,,
24,1020013,7,1,1,30-01-2017,2016,Chappell-Hadlee Trophy,1,Eden Park,Auckland,,1,0,MP Stoinis,WR Knights,RSA Palliyaguruge,,HDPK Dharmasena,RS Madugalle,7,6,,,
25,1020031,7,9,1,19-02-2017,2016,South Africa in New Zealand ODI Series,1,Seddon Park,Hamilton,,9,0,Q de Kock,WR Knights,JS Wilson,SB Haig,PR Reiffel,J Srinath,9,,4,,
26,1020033,7,9,1,22-02-2017,2016,South Africa in New Zealand ODI Series,2,Hagley Oval,Christchurch,,9,0,LRPL Taylor,CM Brown,PR Reiffel,WR Knights,JS Wilson,J Srinath,7,6,,,
27,1020035,7,9,1,25-02-2017,2016,South Africa in New Zealand ODI Series,3,Westpac Stadium,Wellington,,9,1,AB de Villiers,CM Brown,JS Wilson,SB Haig,PR Reiffel,J Srinath,9,159,,,
28,1020037,7,9,1,01-03-2017,2016,South Africa in New Zealand ODI Series,4,Seddon Park,Hamilton,,9,1,MJ Guptill,WR Knights,PR Reiffel,SB Haig,JS Wilson,J Srinath,7,,7,,
29,1020039,7,9,1,04-03-2017,2016,South Africa in New Zealand ODI Series,5,Eden Park,Auckland,,9,0,K Rabada,CM Brown,JS Wilson,WR Knights,PR Reiffel,J Srinath,9,,6,,
30,1022347,8,12,1,01-06-2017,2017,ICC Champions Trophy,1,Kennington Oval,London,,8,0,JE Root,S Ravi,RJ Tucker,CB Gaffaney,BNJ Oxenford,DC Boon,8,,8,,
32,1022351,9,26,1,03-06-2017,2017,ICC Champions Trophy,3,Kennington Oval,London,TRUE,26,0,Imran Tahir,Aleem Dar,IJ Gould,BNJ Oxenford,PR Reiffel,DC Boon,9,96,,,
33,1022353,10,11,1,04-06-2017,2017,ICC Champions Trophy,4,Edgbaston,Birmingham,TRUE,11,0,Yuvraj Singh,HDPK Dharmasena,M Erasmus,RJ Tucker,RA Kettleborough,AJ Pycroft,10,124,,D/L,
35,1022357,8,7,1,06-06-2017,2017,ICC Champions Trophy,6,Sophia Gardens,Cardiff,,7,0,JT Ball,BNJ Oxenford,PR Reiffel,Aleem Dar,RJ Tucker,AJ Pycroft,8,87,,,
36,1022359,11,9,1,07-06-2017,2017,ICC Champions Trophy,7,Edgbaston,Birmingham,TRUE,9,1,Hasan Ali,RK Illingworth,S Ravi,NJ Llong,HDPK Dharmasena,BC Broad,11,19,,D/L,
37,1022361,10,26,1,08-06-2017,2017,ICC Champions Trophy,8,Kennington Oval,London,TRUE,26,0,BKG Mendis,RA Kettleborough,RJ Tucker,PR Reiffel,M Erasmus,DC Boon,26,,7,,
38,1022363,12,7,1,09-06-2017,2017,ICC Champions Trophy,9,Sophia Gardens,Cardiff,TRUE,7,1,Shakib Al Hasan,IJ Gould,NJ Llong,RK Illingworth,Aleem Dar,BC Broad,12,,5,,
39,1022365,8,1,1,10-06-2017,2017,ICC Champions Trophy,10,Edgbaston,Birmingham,,8,0,BA Stokes,HDPK Dharmasena,CB Gaffaney,M Erasmus,S Ravi,AJ Pycroft,8,40,,D/L,
40,1022367,10,9,1,11-06-2017,2017,ICC Champions Trophy,11,Kennington Oval,London,TRUE,10,0,JJ Bumrah,Aleem Dar,PR Reiffel,RA Kettleborough,RK Illingworth,DC Boon,10,,8,,
41,1022369,11,26,1,12-06-2017,2017,ICC Champions Trophy,12,Sophia Gardens,Cardiff,TRUE,11,0,Sarfraz Ahmed,M Erasmus,BNJ Oxenford,IJ Gould,CB Gaffaney,BC Broad,11,,3,,
42,1022371,8,11,1,14-06-2017,2017,ICC Champions Trophy,0,Sophia Gardens,Cardiff,,11,0,Hasan Ali,M Erasmus,RJ Tucker,BNJ Oxenford,CB Gaffaney,AJ Pycroft,11,,8,,
43,1022375,10,11,1,18-06-2017,2017,ICC Champions Trophy,0,Kennington Oval,London,TRUE,10,0,Fakhar Zaman,M Erasmus,RA Kettleborough,HDPK Dharmasena,RJ Tucker,DC Boon,11,180,,,
44,1023583,13,16,1,21-12-2016,2016,Big Bash League,2,Adelaide Oval,Neutral,,13,0,BB McCullum,SAJ Craig,SJ Nogajski,L Uthenwoldt,GC Joshua,SR Bernard,16,10,,,
45,1023589,14,13,1,23-12-2016,2016,Big Bash League,5,Western Australia Cricket Association Ground,Perth,,13,0,AJ Turner,GJ Davidson,MD Martell,NR Johnstone,AJ Barrow,D Talalla,14,48,,,
